시점,11세,80세
1993,842528,-
1994,793710,-
1995,710921,-
1996,661088,67819
1997,642927,74082
1998,624782,73870
1999,623494,73996
2000,630564,79111
2001,638028,84855
2002,673855,95357
2003,716225,104580
2004,719735,100441
2005,713909,98932
2006,712452,104130
2007,697941,113797
2008,679454,126613
2009,656265,135634
2010,629846,142501
2011,629250,146246
2012,598941,159273
2013,526709,174036
2014,493761,188896
2015,483312,209782
2016,454676,221669
2017,442524,229024
2018,472302,241009
2019,481829,259686
2020,458038,265687
