矫痢,拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技 捞惑,80技,81技,82技,83技,84技,85技 捞惑,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
1993,44752156.5,702939.5,713440.5,672147.5,637286,630473.5,623815.5,625820.5,645745.5,663168.5,712412,794623,842528,851539.5,845633.5,787558,763981.5,784843,789518.5,838953.5,892507.5,912331.5,938685,952764,944858,950922,921514,866905.5,863121,874526,846437.5,873904.5,941390,967522,937700,864824.5,826120,786456,762265.5,720886.5,620942.5,609410,556198,488311.5,509924.5,513733,518183,472347,400875.5,396079,416744.5,476990,488965,425058.5,415157,410236,384829,370036,361392.5,344625,312251,288990,265944,245751,241082,230563,215334,194430,179061.5,169808,169195,172568.5,154482,133574,120652,108507,103308,98346.5,84891.5,74303,68056.5,368952,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1994,45208726,701731,717999,715082,673445.5,638199,631214.5,625041.5,627280,644851,662717.5,711911.5,793709.5,841741,850481.5,844299,786366.5,762725.5,782358,787715,837386.5,891386.5,910714,937579.5,951372.5,943400.5,949300.5,919941,865068.5,861380.5,872398,844400,871468,939100,964811,935929,862351,823409,783405,759561,717838,618389.5,607039,553593.5,486124,507616.5,511226,515494.5,469539.5,398563,393344.5,414108.5,473728.5,485330.5,421648,411379,406386.5,381024,366005,357565.5,340235.5,308178.5,285000.5,261783.5,241785,236741,225982,210849,189931,174424,164810,163970,166698.5,148707,127968,115063,103031.5,97676.5,92447,79358.5,68925,385987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1995,45637184,701698,713026,719148,716079.5,673947,638531.5,632053.5,625657.5,626442,644354.5,661785,710920.5,792930.5,840267,848902.5,842892.5,784538,760239.5,780222,785912.5,836023.5,889839,909285.5,935902.5,949492.5,941312.5,947379,917461,862706.5,859080.5,870003,841589.5,868751.5,935996.5,962538.5,931687.5,859105.5,820072.5,780175,756445,714614,615763,604087.5,550728.5,483689.5,504755,508367,512486,466605,395641,391084.5,411180,470392,481637.5,417836.5,407910.5,402447,377018,362146,353040.5,336097,303851.5,280712.5,257615,237390,232293,221223,206046.5,185149,169404.5,159666,158328.5,160440.5,142387,122051,109320.5,97353.5,91713.5,86294,73477,400547,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,46062142.5,689392,711825,713714,719969.5,716700.5,674670,639727.5,632445,625208,625993,643395,661088,710227.5,791595.5,839006,847543.5,840988.5,782470,757926.5,778605,784768,835003,888631.5,908123.5,934641,948040,939830,945352,915577,861067.5,857128.5,867672,839606,866337.5,933285,958460,928521,856062,817032,777335.5,753372.5,711717,612999.5,601018,548073,481081.5,502013.5,505314.5,509500.5,463695,393423,388419,408545.5,466894,477741,414505.5,404181.5,398486,373144.5,357986.5,348844.5,331488.5,299437,276421.5,253278.5,233291,227577,216441,201120.5,180190,164412,154339,152538,154034.5,136053,116238.5,103451.5,91526.5,85751.5,80074,67819,67819,58012,51862,46257,40513.5,154096.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997,46475162.5,671950.5,697037.5,712212,714298,720622,717364,675904,640107,632053.5,624741.5,625325,642926.5,660576,709258,790685,837859.5,846133.5,838740,780355.5,756679.5,777769,783920,834083.5,887733.5,907162.5,933412.5,946696,938281.5,943779,913886,859189,855151.5,865681,837419.5,863998,930422,955499,925582,853223,814451,774563.5,750524,708844,610437,598338,545626,478678.5,499244,502847,506619,460977,390954,386008,405641.5,463349,473788,410881,400484,394444,369007,353642.5,344344.5,327040,294993,272046.5,248966.5,228923.5,222916,211503,196023.5,175138,159111.5,148909.5,146705.5,147422.5,129783,110179.5,97550,85803.5,79860,74081.5,74081.5,62135,52641.5,46663.5,41216,164140.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1998,46837620,636377.5,678461.5,697701.5,712720.5,714713,720817,718422.5,676151.5,639538.5,631571.5,624189.5,624781.5,642416.5,659744,708355,789574,836515,843688.5,836845,779141,755700.5,776785,783184,833097,886555.5,905848.5,932154,945175.5,936576.5,941967,911784.5,856838,852733.5,863100.5,834682,861007.5,927236,951932.5,921952,850076,810963,771137,746849.5,705423.5,607115,595256,542550.5,475943,496500,499863.5,503537,458094.5,388226,383351,402751.5,459600,469742.5,407248,396429.5,390293.5,364680,349364,339875,322283.5,290475,267532,244567,224328,218083,206293,190870,169885,153737.5,143419.5,140644,140938,123284.5,104108.5,91548,79948.5,73869.5,73869.5,67956,56481.5,47449.5,41715.5,173298.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1999,47163424.5,597888,655028.5,679393,698225.5,713182,715038.5,721797.5,718773,675604.5,638928,630917,623493.5,624220.5,641486,658727.5,707486,788266,834391,842091.5,835644.5,778012.5,754606.5,775923,782204,831950,885401.5,904754.5,930493.5,943546.5,934763,939626.5,909183,854286,849891.5,860025.5,831775,857763,923593.5,948004,918126,846142,807124,767153.5,742809,701542,603644.5,591888,539252.5,473231,493471,496844,500485,454924.5,385591.5,380722.5,399581.5,455891,465595.5,403346,392506,385917,360429.5,344904,334958.5,317447.5,285772.5,262887.5,239862,219614,212910.5,201041.5,185450.5,164429,148219,137613,134428.5,134035,116577.5,97741.5,85408.5,73995.5,73995.5,67863.5,61747.5,50833,42435,180647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,47534117,598035,628671.5,656500.5,680329,698846,713991,716217,722562.5,718438.5,674897,638364.5,630564,623109.5,623479,640979.5,658407.5,706719,787001.5,833497.5,841314,835065.5,777154,754222.5,775172.5,781546.5,831264.5,884652.5,903572.5,929534,942316.5,933107,938235,907621.5,852540,848267.5,858447.5,829953,855886.5,921371,945498.5,915582,843512,804425,764268,739973.5,698689,601203.5,589162,537115,470857.5,491170,494273.5,497701.5,452376.5,383180.5,378198,396757.5,452221.5,461714,399621.5,388474.5,381675,356147.5,340255.5,330152,312454.5,281016.5,258045,235004,214573.5,207546.5,195289,179724.5,158632.5,142282,131479,127857.5,126860.5,109515,91352.5,496425.5,79111,67943.5,61669,55476.5,45299.5,186926,37377,32042,27197.5,22332.5,17143.5,13472.5,10351.5,7849.5,5569,3839.5,2624.5,1786,1280,1009.5,832.5,2219
2001,47877048.5,570380,628188,629879.5,657152.5,680592.5,699596,714788,716577.5,721997,717572.5,674360,638027.5,629921,622460,622968.5,640338,657598.5,705532.5,786082,832548,840637.5,833888.5,776767.5,753109.5,774263,780623,830168,883441,902379,928188.5,940819.5,931809.5,936592.5,905958,851278.5,846795.5,857012,828437.5,854133.5,919145.5,943304.5,913097,841189.5,801762.5,761693.5,737367,696141,599028,586814,534785.5,468833,488655,491686.5,495146.5,449549.5,380897.5,375555,393859,448666.5,457538.5,395771,384367,377356,351716,335720,325203.5,307426.5,276111,252941,229841,209432.5,201792,189517.5,173746.5,152660,136265,125254,121155.5,119622.5,102549.5,521024,84854.5,72875,62071.5,55658.5,49556.5,196008,39998.5,32700.5,27648,23111,18734.5,14185,10948.5,8274.5,6151.5,4262.5,2860,1925,1293,937.5,753.5,2224.5
2002,48125744.5,501475.5,597764,628937,630230,657304,680907.5,700000,714813,715831.5,721311.5,716928.5,673855,637291.5,629202,621662.5,622163,639426.5,656424,704596,784978.5,831611.5,839280.5,833017,775385.5,751860,772913,779268.5,828556.5,881482.5,900478,926183,938553,929343,934233,903800,849096.5,844633,854781.5,826144,851460.5,916255,940282.5,910129,838066,798784,758670,734420,693423,596316,584308,532244,466476.5,486076.5,489083.5,492242,446862,378267.5,372882.5,390808,444631.5,453286,391846,380136.5,372799.5,347219,330826,320011,302234.5,270803.5,247715.5,224509.5,203911.5,196015.5,183462,167546.5,146504,130089.5,118736,114408,112230,554045,95357,78380.5,66710.5,56186.5,49800.5,207610,43855,35033.5,28255.5,23593.5,19476.5,15455.5,11529,8745,6497,4707,3179.5,2087,1409.5,944,678.5,2164
2003,48308385.5,469760.5,524843.5,598326,629113,630466,657200.5,681163,699951.5,714091.5,715099.5,720442,716225,673101,636361.5,628358,620936,621144,638329,655332,703454.5,784075.5,830046,838046,831435,773672,750102.5,771269,777142.5,826126.5,878837,897534.5,923185,935273,926084,930742.5,900478,845791.5,841514,851443,822706.5,847841,912521,936116,905998,834014,794869.5,754920,730794,689827.5,593264,581036,529337,463859.5,483128,486117,489057.5,443840,375522,369975,387531.5,440579.5,448909.5,387550,375698.5,368072.5,342311,325770.5,314655,296695.5,265202.5,242033.5,218825,198232,190021.5,177149,161062.5,140165,123557.5,112124,107428.5,593572,104579.5,88297,71879,60593,50353,217870.5,44246.5,38470.5,30284,24150,19843,16141,12538,9209,6865.5,4989,3564.5,2357.5,1520.5,998.5,667,2026
2004,48485314,460244.5,491437,525609,598517.5,629544,630413,657603.5,681147,699291.5,713359,714386,719735,715670.5,672170.5,635628,627738.5,619973.5,620091,637267.5,654557.5,702669.5,782714.5,829110.5,836679.5,830025,772367.5,748969.5,769599,775306.5,824057,876465,894993.5,920034.5,932032.5,922608,927370.5,897169,842684.5,838096,847841,819177,844220.5,908355,931628.5,901488.5,829937,790985.5,751095,727041,686295,590047,577839,526511,461096,480172,483006.5,485947.5,440754.5,372724,367162,384284.5,436567.5,444370.5,383317.5,371149.5,363279,337508.5,320567.5,309115.5,290720,259512,236233.5,213054.5,192433.5,183777,170629.5,154539.5,133650.5,117116,105525,627303.5,100440.5,97258,81334.5,65517,54594,228159.5,44999.5,39023.5,33431.5,25962.5,20338.5,16594.5,13228.5,10090,7231,5309.5,3821,2670,1756,1072.5,697.5,1933.5
2005,48683039.5,432538.5,480935.5,492441,526186.5,599063,629830.5,630960,657726,680663.5,698708,712895.5,713909,719411.5,714831,671582.5,635116,626900,619128.5,619426.5,636831.5,653968.5,701972,782296.5,828483.5,836230,829683.5,772314.5,748545.5,769161.5,774798.5,823387.5,875361.5,893481.5,918484.5,930234.5,920806,925602,895229,840696,835963,845682,816965.5,841746,905425.5,928644,898470.5,827239.5,788255.5,748367,724249.5,683632.5,587562.5,575459,524104.5,458845,477661.5,480605,483228.5,438154,370320.5,364595.5,381374.5,432729,440059.5,379144,366819,358684,332525,315355,303498,284914.5,253722.5,230325,207196.5,186453.5,177501,164062.5,147783,127154,110678,658063.5,98932,93599.5,89981,74445.5,59382,241723.5,49002.5,39879,34115.5,28785.5,21967,17066.5,13680.5,10700.5,7979.5,5638,4096.5,2874,2005,1248,761.5,1924
2006,48887026.5,419297.5,452105,481863.5,493123.5,526681.5,599450.5,630155,631065,657291,680142.5,698323.5,712451.5,713534,718651.5,714261.5,670994,634379,626146,618435,618835.5,636242,653455.5,701680,781960,828294.5,836015,829690.5,772175,748502,768943.5,774681,822988,874804.5,892918.5,917616.5,929081.5,919836,924451.5,893946,839310,834779,844199.5,815367.5,839946,903512,926338,896485.5,825136.5,786103,746106,721993.5,681387.5,585584.5,573181.5,522008.5,456822,475602,478382.5,480715.5,435689,368041,362087,378382.5,428957.5,435812.5,375090,362374.5,353729.5,327504.5,310015,297595,278909.5,247675,224364,201148.5,180454.5,170958,157235,140841.5,120576.5,692157.5,104129.5,92289,86738,82728,67792.5,258480.5,53446.5,43598.5,35047,29481.5,24513,18458.5,14126,11092,8527,6247,4393.5,3109,2134.5,1438,905.5,1963
