일시,서울평균기온(℃),부산평균기온(℃),제주평균기온(℃),대전평균기온(℃)
11-Jan,-7.2,-0.7,2.3,-5.7
11-Feb,1.2,6.1,7,1.8
11-Mar,3.6,7.4,7.8,4.5
11-Apr,10.7,13.1,13.2,11.6
11-May,17.9,17.3,18.2,18.1
11-Jun,22,21.3,21.7,22.7
11-Jul,24.6,25.1,27.3,25.7
11-Aug,25.8,25.8,26,25.8
11-Sep,21.8,23.3,23.1,21.2
11-Oct,14.2,17.6,17.9,13.5
11-Nov,10.7,14.1,15.7,11.2
11-Dec,-0.9,4.4,7.1,0.4
12-Jan,-2.8,2.8,5.4,-1.5
12-Feb,-2,2.8,4.8,-1
12-Mar,5.1,8.3,9,5.7
12-Apr,12.3,14,14.5,13.2
12-May,19.7,18.9,19,19.8
12-Jun,24.1,21.6,22.3,23.8
12-Jul,25.4,25.5,26.6,26.3
12-Aug,27.1,27.5,27.8,27.1
12-Sep,21,22.2,22,20.6
12-Oct,15.3,17.8,18.4,14.3
12-Nov,5.5,10.1,12,6
12-Dec,-4.1,2.9,6.6,-3
13-Jan,-3.4,2.5,5.6,-2.6
13-Feb,-1.2,4.7,6.2,0
13-Mar,5.1,10.2,10,6.6
13-Apr,10,12.6,13.5,10.6
13-May,18.2,18.2,18.6,18.8
13-Jun,24.4,21.9,21.7,23.9
13-Jul,25.5,26.1,28.7,26.8
13-Aug,27.7,28,29.1,27.8
13-Sep,21.8,23.7,24,21.4
13-Oct,15.8,18.9,19.2,15.5
13-Nov,6.2,10.9,12.9,6.7
13-Dec,-0.2,5.4,8.1,1.3
14-Jan,-0.7,5,6.8,-0.1
14-Feb,1.9,5.8,7.5,2.7
14-Mar,7.9,9.8,10.7,8.3
14-Apr,14,14.6,14.8,14.3
14-May,18.9,18.7,19.1,19.4
14-Jun,23.1,21.4,21.8,22.9
14-Jul,26.1,24.8,25.1,25.9
14-Aug,25.2,24.2,25.1,24.2
14-Sep,22.1,22.7,23.5,21.6
14-Oct,15.6,17.9,19.1,14.9
14-Nov,9,12.7,13.9,8.5
14-Dec,-2.9,3.5,7.3,-1.3
15-Jan,-0.9,4.7,7.4,0
15-Feb,1,5.4,7.3,1.9
15-Mar,6.3,9.5,10.4,7.2
15-Apr,13.3,13.9,15.1,13.3
15-May,18.9,18.8,18.8,19.5
15-Jun,23.6,21,22,23.4
15-Jul,25.8,23.9,25.6,25.4
15-Aug,26.3,26.1,26.4,26.4
15-Sep,22.4,22.1,23.2,21.7
15-Oct,15.5,18.1,19.2,15.5
15-Nov,8.9,13.6,15.2,10.1
15-Dec,1.6,7.9,10,3.1
16-Jan,-3.2,3.1,6.1,-1.3
16-Feb,0.2,5.5,7.3,1.5
16-Mar,7,9.9,10.8,7.5
16-Apr,14.1,15.1,15.6,14.8
16-May,19.6,19.3,18.9,19.8
16-Jun,23.6,21.9,22.2,23.7
16-Jul,26.2,25.3,27.4,26.6
16-Aug,28,27.7,28.5,27.9
16-Sep,23.1,22.9,23.9,22.4
16-Oct,16.1,18.7,20.1,15.7
16-Nov,6.8,11.8,13.7,7.2
16-Dec,1.2,7.3,9.5,2.5
17-Jan,-1.8,4.1,6.6,-0.4
17-Feb,-0.2,5.5,6.8,1.2
17-Mar,6.3,9,9.8,6.8
17-Apr,13.9,15,15.7,14.5
17-May,19.5,19,19.5,19.6
17-Jun,23.3,21.3,22,23.3
17-Jul,26.9,26.1,29.2,27.1
17-Aug,25.9,27,28.7,26
17-Sep,22.1,22.6,24,21.1
17-Oct,16.4,18.1,19.3,15.4
17-Nov,5.6,11.2,12.6,6.4
17-Dec,-1.9,3.6,7.2,-0.4
18-Jan,-4,1.9,4.9,-2.5
18-Feb,-1.6,3.9,5.5,-0.4
18-Mar,8.1,10,11.4,8.7
18-Apr,13,14.5,15.9,13.9
18-May,18.2,17.8,19.1,19.2
18-Jun,23.1,21.5,22.3,23.6
18-Jul,27.8,26.7,27.3,27.9
18-Aug,28.8,27.9,28.8,29
18-Sep,21.5,21.9,23.9,21.2
18-Oct,13.1,16.4,17.9,13
18-Nov,7.8,12.4,13.9,8
18-Dec,-0.6,5.7,8.7,0.6
19-Jan,-0.9,4.5,6.4,0
19-Feb,1,6.6,7.4,2
19-Mar,7.1,10.5,10.8,7.7
19-Apr,12.1,13.4,14.7,12.9
19-May,19.4,19.3,20,19.7
19-Jun,22.5,21.1,21.5,22.6
19-Jul,25.9,24.3,25.2,25.8
19-Aug,27.2,27,27.7,27.2
19-Sep,22.6,23.1,24,22.5
19-Oct,16.4,18.6,19.7,16.2
19-Nov,7.6,13,14.6,8.7
19-Dec,1.4,7,9.7,2.6
20-Jan,1.6,6.4,8.9,2.7
20-Feb,2.5,7.1,9.1,3.6
20-Mar,7.7,10.4,11.5,8.5
20-Apr,11.1,12.6,13.2,11.5
20-May,18,17.9,18.8,18.8
20-Jun,23.9,22.4,22.4,24.1
20-Jul,24.1,22.1,24.2,23.6
20-Aug,26.5,27.2,29.4,27.5
20-Sep,21.4,21.9,22.9,21.2
20-Oct,14.3,17.3,18.4,14.2
20-Nov,8,12.4,14.1,8.6
20-Dec,-0.3,4.3,7.7,0.5
21-Jan,-2.4,3.3,6.8,-1
21-Feb,2.7,7.2,9.4,4
21-Mar,9,11.4,12.5,9.6
21-Apr,14.2,14.7,15.4,14.7
21-May,17.1,17.7,19,17.7
21-Jun,22.8,21.9,23.4,23.5
21-Jul,27.7,26.3,27.8,27.8
